,text
0,Rubber
1,lovely badam halwa
2,The galouti was cooked in reused oil. The taste and smell said it all. Got hyper acidity after consumption
3,Great place. Had fun
4,The naan was a little too chewy!
5,there was hair in my food
6,prfct dining
7,"**Exceptional Service by Dhaba Staff & esp Pooja – Highly Appreciated!**  I want to extend my heartfelt thanks to Pooja from Dhaba CP for her incredible service and hospitality. On short notice, she managed to arrange a reservation for my friends who were traveling to Delhi for the first time. They were keen to experience an authentic Dhaba menu, and Pooja ensured their dining experience was nothing short of exceptional.  Her professionalism, warmth, and dedication to prioritizing their reservation truly stood out. My friends couldn’t stop raving about the delicious food and the overall experience, all made possible thanks to Pooja's efforts. It’s rare to come across staff who...read more"
8,Not giving 5 star as there is always room for improvement.
9,The service was not prompt and warm. Any tweak to dishes for a toddler was rejected
10,The service and food quality was very poor. I came to this place with my family at some special occasion. The place has spoiled the overall occasion. The main reason behind that the service and quality of the food. Had to wait 15 min. For the starters
11,Sushma was great
12,Ravi has served well. thanks
13,Staff was not polite and made us wait outside the restaurant till the actual time of reservation.we reached there at 6:40 PM and she made us sit outside till 7:00PM although in zomato it was showing to reach 15 Minutes before the reservation timing.
14,W food
15,"delighted to be here . great food , greater service. ajay, Ravi, pushkar ji very helpful staff members. 🤗🤗🤗"
16,Visited this place for the first time. They have ample sitting place and the staff is great. Mushroom galauti kabab was pretty average I would say. I would rate it 2.5/5.Tried 2 mocktails where the bant was more like 3.5/5. Paan mojito was good it was 4.5/5.
17,Ravi’s service was splendid and food was sumptuous
18,Good service by Hansraj
19,Service provided by Pushkar was great!
20,good hospitality by hansraj
21,great food great hospitality..hansraj ji thank you !
22,Good service by hansraj
23,Food wasn’t good enough
24,Pushkar was kind and helpful. Thanks for the service.
25,pushar ji giving good service
26,Pushkar was very helpful and ambience was good
27,Amazing food Great tastePushkar was very helpful :)
28,Pushkar was great and served us well during our visit. He was attentive and helped us.
29,pushkar thank u great food
30,It was really amazing experience. Pushkar is was very hospitable.
31,chandravir did great work and food was good
32,Great service by pushkar
33,food was good but service not good at all
34,Pushkar
35,average food.
36,Pushkar Great Service.
37,Food was amazing and Pushkar's service was top notch! Would recommend to anyone willing to try Indian food in CP
38,pushkar is a great employee working there feel free to ask him fr any assistance
39,mr pushkar gave a very brilliant serving
40,"Nice food, Pushkar was polite and guided us for the payment with discount"
41,excellent service by Pushkar
42,"good services, good is good but can be better, especially mutton dishes for the price, shout out to Pushkar for excellent service"
43,Great service by Pushkar 😀
44,Servive wasn’t great.
45,Pushkar
46,Pushkar was nice
47,Pushkar provided a really great meal assistance.
48,Pushkar was handling our table and was really helpful and attentive.
49,the soya chaap ordered was not soft and the taste was also not so good ... only the dhaba dal was good.. overall food can be better
50,"The hospitality is very good. We were served by Pushkar, who took care of everything we needed. Great service by him."
51,Pushkar thank you for your service.
52,Thank you pushkar for wonderful food & service
53,Loved the service by Pushkar
54,Pushkar was quite helpful. Loved the food overall.
55,"The food was really appetising and the quality was satisfying, serving staff pushkarvery friendly and helping"
56,An extremely lively place. The food is excellent and the ambiance is top-notch. Pushkar was very polite and courteous
57,Good food. Great ambience. We were served well by Sushma.
58,Priyatush Kumar was awesome in recommemnding dishes and serving.
59,paneer was stale
60,"Excellent service by Mr Hansraj, Polite behaviour and friendly nature"
61,Mr. Ravi attended us with all the humbleness
62,"Amazing service, especially with Ravi. We had a US Guest and we had a great time here"
63,Really enjoyed the food. Thanks Ravi for the services.
64,Hansraj ji gave a wonderful service
65,service is slow. otherwise very good food.ambience is like dhaba
66,Food was great and sushma was a great waitress
67,nice hospitality by shushma
68,Priyatosh kumarWas excellent at service :)
69,Priyatosh kumar served well😀😀
70,ravi was very quick on delivery and suggestions. great experience...!!
71,A really good place to have a nice outing.Pradeep Kumar ji was really helpful. ☺️
72,Food taste wise good but service could be better.
73,Mr. Hansraj
74,Absolutely wonderful atmosphere and food!!! Must try kala sha kala kulad!!! Thanks to Mr. Hansraj Nikose for his fantastic service and recommendation….just in love with this place!
75,Pradeep Kumar was really good in serving us.
76,Hansraj thank you so much for your best services and serving food with a smile
77,"Great food! Our server, Ravi WAS AMAZING! Served really well’"
78,The hospitality was good along with Food.Special mention to Pradeep Kumar
79,Pradeep hosted us and loved his service. Very good atmosphere loved the mojito drink made by him.
80,Excellent service from Mr Pradeep
81,Pradeep was a great host and the food was great!
82,"Very bland , ek dum sukhi , very pathetic"
83,"Our server, Pradeep Kumar was indeed polite and friendly"
84,Had requested mint sauce but they have jst sent one spoon of it
85,The service was pathetic. We were the only people there but they literally ignored us. Didnt give us one of the orders as well. Do not recommend The food was okay though.
86,good food an service by Mr pradeep
87,Pradeep did great service. Polite behaviour and helpful. food was also good.
88,food is nice staff is helping special Mr pradeep helped us suggesting our experience
89,Got a very good service by Pradeep Kumar
90,"Butter chicken is Just Good, Shobha was bad"
91,Amazing service . Very sweet Pradeep kumar
92,Pradeep helped us throughout. Great service
93,"Great service from our server, Mr. Pradeep Kumar"
94,had a nice dinner and would like to appreciate the staff specially mr. pradeep kumar
95,The food here is good and Pradeep and Anuj were very kind to us❤️
96,Thank you Pradeep for a wonderful service! We enjoyed our meal so much more because of your hospitality! :)
97,Pradeep ji was really quick and helpful
98,Pradeep is a great staff
99,Mr. pradeep kumar assisted very well
100,pradeep was an excellent host.
101,Excellent service by Pradeep Kumar
102,nice service from Aman Thapa
103,Portion size is actually less for the price. And service is quite delayed even when we went before peak dinner time.
104,Amazing service by Aman Thapar
105,"Very good food, very nice service"
106,"Very oily food, not very tastyPortion size is small for costService was also slowNot worth it"
107,Food was not good. Actually dal was undercooked. Roti was like papad as tight as that. Had to leave packing them and giving to road side people.Not worth the huge bill having 10% service charge
108,Hanraj was really helpful in letting us know the menu.
109,Service of Aman Thapa was very good
110,Great food suboptimal service
111,Burnt food
112,Food and ambience is really good but service is a tad slow. Overall a good experience.
113,they dont even fill the bowl completely. over expensive with not salaid chutney
114,"Hansraj was amazing, thank you so much ."
115,The serving for kadhai paneer was NOT SUFFICIENT for one person and the garlic naan was not garlicky at all. It was rubbery.
116,Good food. Very kind and friendly service by Hansraj.
117,wonderful food...we were serviced by Mr. Hansraj...awesome guy..suggested the right dishes to eat
118,great service by sushma mam
119,test was so bad
120,The food and the ambience was nice.
121,Great service by sushma
122,The place has a family vibe and it does revive the dhaba culture. Shushma Ji did really amazing work.Thanks!!Would Like to Visit Again.
123,pan mojito quality has been compromised.
124,"Good food, ambience and staff! Liked the overall hospitality & services by Sushma"
125,sushma was very kind and helpful
126,Poor service. Pathetic food.They really need to improve the food quality. Only plus point is location otherwise zero star.
127,"Veey nice service provided by Sushma, totally uplifted my dinning experience"
128,Great Experience and the service provided by sushma was amazing.
129,"The services provided by Hansraj are really good, he took care of the drinks and food."
130,The food is good. we have been served by Hansraj he is generous and humble. I am very happy with the service
131,Nice place. Sushma was great to us. Food was awesome
132,the service was awsome and we enjoyed the service by sushmita
133,staff very good
134,Impressive service and amazing. Sushma hosted us.
135,The staff was very friendly and helpful. We were served by Sushma. 🙂
136,"food was very nice here , Great Ambience 🤗"
137,The service is very slow and very welcoming. Mutton was not available for some unknown reason and the food quality was also very average. After waiting 20 minutes and not being informed that half of the menu is not available is not ok!!
138,Hansraj is very good at serving
139,"sushma, great service, very hospitable"
140,"Amazing food and ambiance, Hansraj ji was so kind and helpful. Made us feel like home."
141,Very poor service and good quality is average.
142,tasteless food. MORE onions than panner were there in paneer dish
143,"Food is awesome everyone like it(we have a veg food only)... but not much option for kids.. like Chinese, pizza type snacks.. other things which may impact others:1. need to use stairs.. not accessible for wheelchair and old age person 2. washroom is two small need to wait so long for ur turn"
144,work on food
145,too much oil and masala in Sabzi .
146,Pathetic
147,Sushma served us with such a pleasant attitude
148,sushma was our attendant and she was great!
149,"Food is one thing for which one should definitely visit Dhaba’s CP.Mouth licking Kadhai Zhinga (prawns) and Bhatinda chicken curry.Food- 5Ambience- 5Service- 3There is only 1-2 person who are attending all the tables, expect a delay in service in just taking orders or calling out for crockeries."
150,Excellent service by Ms. Sushma & great restaurant ambience. Would definitely recommend this to my friends.
151,great service by Ms sushma great food and ambience
152,great service by sushma
153,A good place with friendly staff and good food. Would definitely recommend for group visits.
154,Amazing food service.  Sushama is just wonderful and brilliant human being.
155,"Amazing service, esp by Sushma!! Even greater food!!"
156,The food and service was very good and specially the Staff named Shushma was very helpful
157,I have delighted to served by shushma she been truly wonderful and a very helpful person to serve us
158,Place is nice
159,Amazing experience. Our server Hansraj was polite and joined in the celebration.
160,"Great food. Had ordered Veg platter, Paneer Chilly and Hariyali Kofta with Veg Pulao. Platter was amazing, Paneer Chilly was decent. Kofta was a bit average.Also, service by Sushma was excellent. Her recommendations were on point and she was very sincere in her approach. Thanks to her and the restaurant!"
161,Sushma did a great job
162,"The food was very tasty, my family absolutely loved it and the staff especially Sushma she did her job very well she also suggested us palak chat which we loved it"
163,"Food as usual was awesome but gr8 service from Sushma , great recommendations.👍"
164,Hansraj was incredibly swift and recommended the nicest non-vegetarian meal I have ever had.
165,Sushma is a great host. polite and professional. great food and service.
166,Sushma did a great service
167,Great service by sushma and food was also good.
168,nice food and ambience. Served by Sushma who was very sweet and polite
169,Amazing service and food. Special thanks to miss Shushma
170,Wonderful service thanks to Sushma and others!
171,The food is nice. Shushma was warm and did a great service
172,"tasty food, polite staff, melodic music, trippy alcohol, chatpata jaljeera, special thanks to sushma ji for great service and table service."
173,"Overall a nice dinner and drinks experience with friends, nice ambience, good taste and portion size, the staff's behavior was also very nice, specially Shushma ji whom catered our table was very nice, 5/5 recommend."
174,"Excellent service by Ms sushma, loved the ambience."
175,great service by sushmaenjoyed the vibe
176,The food was good and the service from Sushma was also really great. Worth trying.
177,food service is good.behaviour of staff named sushma is also appreciable.
178,i like service and food very Yami
179,Worst service and no hygiene was maintained never ever going to visit them again.
180,The food and service of Mr. Pawan Kumar was Good
181,sushsma ma'am made us very comfortable  and this place is fantastic.
182,great food and Great service by Sushma
183,Great food and ambience. Excellent service from Sushma.
184,The food was great and so was the service. Miss shushmi did a great job catering to our needs . Will totally visit again.
185,"Nice place and Food, best service by Mr Pawan Kumar ji"
186,The quality and quantity of food were up to the mark. The service provided by Shushma was pretty commendable. Highly recommended!
187,The food and service by Mr. Pawan Kumar was outstanding. Highly recommend to others as well.
188,Nice service from Hansraj
189,Delicious food
190,Had their Non Veg Platter and it was delicious. Also Pawan Kumar’s service was excellent.
191,very great food and a good hospitality by miss sushma :)
192,"services are brilliant , especially miss sushma did a great job , thanks to her"
193,The food and service is really good. Especially Miss shushma’s warm behaviour
194,"The total ambience and the food especially malai kofta was very good. Staff there was very friendly and kind. They did a cute small dance performance, beautiful. Sushma is an amazing staff there appreciate her customer service. All the best!"
195,I have tried malai kofta that was yummy and the music was classic and Amazing Dance performance by Sushma and Team.Appreciate Sushma hospitality 😊
196,it was a good experience..authentic north indian food. serviced by Ms Sushma who was very good. thanks
197,"Food and service is very good, Pawan Kumar had a great customer service attitude. Recommended place!"
198,Enjoyed the food and the ambience.
199,Hansraj assistance was good
200,Paneer wasn’t good at all.
201,Gundeep paji has been excellent and helped us a lot n
202,the food was very delicious and miss  shushma was very polite and cooperative.. overall our experience was fantastic🤗💯
203,Susma - I liked her recommendation for foods
204,sushma - good service
205,Food was good
206,hansraj was the waiter who served us and he was extremely polite and mannerful
207,I had dinner at the dhaba and the food was also very good and Shushma ji treated me well . I will come here again and you must also come here once . please do check it out .
208,Great hospitality by Sushma…
209,"Great food , great ambiance and courteous staff, special thanks to Sushma."
210,Great hospitality by sushma. Great food
211,"Sushma mam is very nice, nature is very good and Food is yummy😋 so delicious and tasty"
212,Had a great lunch here and served by Sushma. Most recommended place to have food when you are in Delhi.
213,Sushma It’s nice food and dm great service by Miss Sushma
214,Sushma was very heart welcoming and superb...
215,"Shisham, excellent service and warm welcome. Please give her raise and manager level ProMotion 🤞🏻✌🏻"
216,"Shushma- good service, pleasant behaviour"
217,Hansraj is awesome to serve here.
218,Gundeep Singh was very helpful
219,food is good service is amazing and staff is so friendly and good getting by Ms Jyoti. ☺️☺️
220,"Amazing services from Shushma, great and polite nature. Amazing food and happy faces! 😁"
221,had an Amazing food. sevices were great by Miss Sushma.
222,had a great time. delicious food and amazing service.
223,sushma and Parmod excellent service
224,Loved the food and great services by Shushma & Pramod❤️
225,nice food great service
226,Prabhu and Anil service was superb . Must visit
227,"Kudos to Anil, Gundip and Pramod for a great service. Amazing food. Highly recommended"
228,Gundeep Anil and Pardeep were very coordial
229,Good place with delicious food. Thanks Sushma for hosting us.
230,1.staff is so friendly and good 2.food is amazing 3.service is exllent 4.gretting to good by Jyoti ☺️😊
231,dhaba estd1986 nice place and food is good service is amazing and greeting to good by Ms Jyoti 😊 thanks for all team members ☺️ I am visit again with family members ☺️ I am so happy 😊
232,Great service by Hansraj
233,Food was very tasty and jyoti was very kind and helpful he served everything very nicely
234,gundeep singh great service
235,dhaba is a good place and staff is so friendly and service is excellent 👌 and good food and getting by Jyoti Jyoti was really nice and helpful
236,Susma Best service
237,Good food and great service from Sushma!
238,"Food was delicious, love the interior decoration & mainly that girl sushma was amazing, best wishes to her😊"
239,good place amazing vibe dhaba cp and good food and staff so friendly and greeting by Jyoti
240,great service and amazing food and greeting to good by Jyoti team is so friendly thanks for all team
241,Great service and nice food. Sushma was amazing.
242,Good foodGreat service by Sushma 😊
243,Ms Sushma’s service was exemplary and brilliant!!Keep up the good work :)
244,"amazing place , special  shout out to guneep singh"
245,gundeep singh ..one of the best service i rec..from this person
246,Hansraj: Very good service
247,Mr Hansraj- amazing service. Thank you! :)
248,Great service by Mr.Hansraj
249,the food and service was great . sushma treated us very well . A humble women .
250,The food was great the ambiance was great the service was also great by Sushma she was very kind and nice
251,Jyoti welcoming to good and service is good
252,dhaba a good place and iam visit aging with family and food is good service amazing and greeting to good by ms jyoti
253,the service of Pawan Kumar was excellent.
254,Hansraj very nice taking care of everything
255,thank you Jyoti for wonderful welcoming 😊😊 team is good 👍
256,Thanks to Hans Raj ji for great hospitality and service.!!
257,Everything is amazing. Sushma is amazing and everything is absolutely lovely.
258,good place
259,"I had a wonderful time here. Sushma specially was very polite and helpful, provided a spectacular service throughout. nice place to have a meal."
260,Hansraj was excellent
261,"Hansraj ji made sure we had a great time at the restaurant. nice food, great Ambience."
262,Hansraj serviced polite and friendly 👍
263,food is good service is amazing and welcoming to good by ms Jyoti
264,"pathetic experience. felt like Medicare dinner place . The service was slow . Food was below average.Chicken tikka was undercooked dahi kebab were overly sweet . dal makhani was average mutton korma had so much oil with no taste .Nan were thick .I mean you don't expect so under average food at such a chain . They have branded them so well,  have good ambiance but if the food is so pathetic . Don't know what will happen"
265,slight delay in service otherwise great
266,"The food was really bad with no taste. Even after changing it, it was the same! I don’t recommend going there. Price is high too"
267,Mr. Hansraj was very helpful.
268,Sushma Ji is a great server. Good food and ambience.
269,The staff here was wonderful Ms Sushma was a wonderful and catered to our dining needs pretty well Would definitely recommend coming back here
270,food was very good and sushma was really helpful in suggesting us food she was cordial and friendly overall enjoyed everything
271,sushma's service was really great!!
272,"not a nice place to visit. The restrooms were not clean. service was terrible. no one came to take order. we had to wait for more than 15 mins just to order food. Enough cutlery was not given. after 1 hour of ordering, food was served that too only 2 items, remaining items were not served. later for the main course we had to wait for the breads. we had to ask 3 staff members for the bill and midway while I was paying they left and again I had to wait for them to come."
273,Miss sushma did the very nice service
274,Had a great food and the hospitality given by Miss Shushma
275,"It was an good place to have dinner, my server was Sushma, she accommodate us and provided very good service."
276,great service by Ganesh! Thank you
277,Great food and very hospitable service by Ms Sushma
278,"great service by Sushma, nice food"
279,Hansraj gave a very beautiful service. good food
280,loved the amritsari kulcha and staff is really sweet
281,Ganesh served well
282,hansraj the server was happy to help
283,"took them 20 mins to bring our order, and there is one sardar waiter who is a complete ridicule. No service. None of the concerns like time delays, order concerns were catered.Just highly dissatisfied."
284,Hansraj is very nice guy
285,Dinesh ji was so helpful
286,Ganesh was extremely helpful and gave a great service.
287,Loved the food and service. Ganesh was a great host!
288,Ganesh was quick in his service and very kind
289,Thank you Ganesh for wonderful service
290,"Good experience, ganesh has been really sweet and helpful. Thanks"
291,thanks Ganesh for serving us.
292,great food and service by hansraj.
293,"The food was great, no doubt!However, we had to request the waitress multiple times for basic necessities like napkins, cutlery and condiments. All this hampered the dining experience."
294,Hansraj ji did an amazing job. must talk to him.
295,"Hansraj provided good service while dining at this restaurant, food can be improved though"
296,Hansraj
297,Thank you Hansraj ji🙏🏻
298,the food was great and the service provided by hansraj ji was fast and comfortable
299,Hansaraj was really nice and helpful
300,Very good taste
301,I liked Raj's service a lot! would recommend
302,"Awful service You have to beg for someone to take our order or listen to us. They even gave us incorrect orderThough, no problem with the food"
303,hansraj bhaiya was very nice and great host at this place
304,unable to redeem cover charges that i paid
305,Good service provided by Mr. Hansraj
306,Hansraj was a wonderful a server! He was considerate and fast ✨ Loved the food.
307,hansraj ji great service!
308,Hansraj ji is too good
309,"Only the ambience is nice. Food quality and quantity, taste and plating nothing is good enough. Very Slow service."
310,Brilliant service bt Mr. Hansraj! Very pleased.
311,Gurdeep Singh was an amazing person who served us well. and was quite good.
312,"Very good food, excellent service by hansraj"
313,Hansraj was a good host
314,Food was very tasty. Mr. Hansraj treated us with great hospitality.
315,"Staff was not good , delayed services"
316,The price does not match the quality of food here.
317,we ordered Mutton curry.After waiting for 30 minutes the food arrived.The mutton was unhooked and only bones....so we couldn't eat it.the Vegetarian item was very good though
318,Service of Hans Raj was really good
319,hansraj was very polite and efficient. thx for the service
320,rasmalai wasn't fresh and didn't taste good
321,Very good restaurant. Hansraj (staff) was very humble and served in the best manner.
322,Service from Ganesh was wonderful
323,Pathetic food
324,"dance by the staff was awesome, apt for the birthday celebrations"
325,Mr Ganesh was very sweet and the service was really good.
326,they are zero in taste while charging 900rs for chicken/Mutton.Staff and ambience is good but they have to work on food taste.0 Star for food3 star for ambience4 Star for staffs
327,compliments to Shri Hansraj and Chef for entertaining our requests
328,Food was ok ok.service is too late even on Tuesday.management is also very poor they were moving tables and chairs like 3 4 times in a span of 1 hr. Washroom smells like hell.
329,We had a dinner at dhaba on 25th June.I had few guests from abroad who wanted to try authentic north indian..that's why I chose this place.But I was very disappointed with kind of service and hospitality. Food was overpriced..not worth visiting.
330,Hansraj ji is amazing
331,"Amazing food, applauding hospitality especially by Mr Hansraj ji. Will surely visit again soon"
332,very nice service. special thanks to hansraj
333,"had a very nice experience, they gave a dance performance too. We were served by Hansraj, who was very friendly and adviced us great food menu. loved the experience!"
334,Good Sercice by Mr. Hansraj
335,Hansraj
336,"along with food and nice  interior design, Hansraj ji who served us was very friendly, and polite."
337,Hansraj ji served us well. food was delicious and service was also good.
338,has Raj has served really good
339,Dal Makhni had a very foul smell and ended up throwing the entire thing
340,Very nice staff .. kudos to Hansraj .. nice suggestions and all food was good
341,Ganesh was OP
342,"Amazing service by Mr. Hansraj, recommended"
343,Nan had no butter
344,"Highly overpriced and service is super slow, almost half of the items were not available. Food was not up to the mark according to the price listed."
345,we had to wait for a very long time for our order and also food is not great
346,The taste of food was below average and washrooms were so dirty.
347,Great service by Ganesh 👍🏻
348,Great food at Dhaba as always. Ably assisted by Mr Ganesh.Had a pleasure birthday dinner.
349,Amazing service by Mr Ganesh. Thankyou for the hospitality. Great good. Good vibes. Keep it up
350,please reach out to Ganesh for having great experience
351,To begin with the extremely unprofessional behaviour of the manager itself.Rest is yet to follow.
352,Ganesh did a great service  this was my 5th visit to this place and For the 3rd time Ganesh was serving me and it was always feel like home..
353,"ambience is good, Ganesh sir served us very delicious delicacies."
354,"The food is so so average except their roti, because they are made of wheat instead of maida. The main course is just ordinary. The most important thing is, the cutlery seems very much smelling and having food stains.The waiter and whomsoever suited girl roaming like chilly powder in sweet shop, good for nothing.Completely wastage of money, thank you Zomato for saving my 25%"
355,Good food! Good service!
356,loved the food and ambience. Service was also very good. Ganesh was very polite and humble.
357,Ganesh was really very helpful
358,Really appreciate the beautiful service and response provided by Mr. Ganesh and his team. I'm truly famished with the amount and quality of food and I'm really satisfied.
359,Not received mix raita
360,Hansraj was a great host and server. good place to visit with family
361,Food is good but not service
362,"Raita was sour, but otherwise food was good."
363,"Rice , and daal was so bad"
364,One of the worst buffet I had
365,food was really delicious we ordered chitta chicken curry and balti meat butter naan is large enough I don't think anybody can eat more than two
366,Food quality and taste is really good.Ganesh served the food on time and Jyoti made sure we are comfortable.
367,Excellent portion size with good taste however little bit heavy on pocket
368,Ganesh was very hospitable.
369,gurdeep singh ji was awesome and the service was phenomenal
370,Very slow service
371,"Food is good, bit pricey and service any be better"
372,The egg curry was terrible and inedible. I had to literally throw it away. Disgusting food.
373,Ganesh was great
374,"This dhaba outlet offers a stunning ambiance, but the food tends to be oily and heavy on spices, which might not be suitable for everyone. Service was sluggish and the cleanliness of the washrooms leaves much to be desired. Overall, while the atmosphere is pleasant, improvements in food quality and service efficiency are needed !"
375,Tales time to serve
376,"service was not upto the mark, it was very lazy. the staff also forgot to hand over the packed food."
377,hospitality is good by ms Jyoti
378,the hostess welcomed us very lovingly ☺️☺️ms Jyoti
379,jyoti is good hostess thank you
380,good food service amazing and welcoming to good Ms Jyoti
381,food is good service is amazing and wellcoming to good by jyoti
382,good food good service welcoming to good by Ms Jyoti
383,wellcoming to good by ms Jyoti
384,lovely place in cp to have testy food and amazing services and wellcomeing to good by ms jyoti
385,good is good and service is excellent and welcoming is to good by ms Jyoti 😊😊
386,Had a great time! Ganesh was really courteous and helpful 😊
387,"amazing ambiance, Super supporting staff. They are ready to all possible things to make their customers happy. kids safe place I must say..."
388,"We had nice time and smooth service. our table was hosted by Ganesh, he is very polite and quick with service. overall good :)"
389,will order again soon
390,Rajpal very good
391,"Food was average, service was worse."
392,It was excessively oily.
393,"didn't like the food at all. ordered kadhai paneer, was totally dry, no gravy... couldn't have it with garlic naan I ordered. Ambience is okay, service too. but food needs improvement"
394,very tasty
395,"we dropped for lunch today at this place . they offer buffet which includes one Mocktail. we found the taste of buffet items is not same as Ala Carter, instead they charged us separately for them saying they are different from ones included ones. the waiter gave wrong information"
396,Chef's Special Butter Chicken is not good. Would recommend Samosa Chaat though.
397,Ganesh is super good
398,Ganesh was really good host. Food was good.
399,service needs a bit of improvement since there was a lag today
400,excellent services by Mr Ganesh
401,Ganesh  is a very good service
402,Amazing food and service by Ganesh!
403,Ganesh was great at service
404,paneer tikka is sour in taste its smells and tested very bad
405,"Please AVOID going here and SAVE YOUR Money.Nothing extra ordinary. Any Dhaba would provide you the same taste, perhaps better than this.Most satisfactory was the service. It sucks like hell.We had to wait for average 7-8mins to have the waiter at the table so just imagine about the food that you order.Rab Rakha!"
406,exceptional service by Ganesh
407,Nice food and wonderful service by Ganesh
408,nice service and friendly staff special mention - Ganesh
409,A bad experience here. First it took very long for them to take the order. Then all the drinks i asked for were not available and they tried to push a different drink in name of drink ordered. The delays in everything from taking order to getting the bill and taking payment confirmation all took a very long time.
410,"pathetic service, nobody to respond on time. Food pretty average, no music at all"
411,lovely place in CP to have tasty food and courteous service
412,average north indian food
413,The service was quite slow and food was okay.
414,"hats off to Rajpal, really happy with him"
415,Ganesh : Food and services was amazing
416,disappointed this time. the one plus one offer is useless coz the portion size was reduced to half. moreover chicken curry was not the one they usually send. they had sent bathinda chicken curry. didn't taste good. even daal makhani was not as good as it used to be
417,Ganesh was very helpful and very polite
418,Not a place to visit Worst services
419,amazing food experienced over here......with great ambience and also the staff especially Staff member named dushyant highly humble
420,"Dushyant was our server, and he was very warm and helpful with our order. The restaurant was filled flies though. Need to work on their hygiene."
421,"food was not good,, ordered butter chicken it was too sweet ,, overpriced also..."
422,"The service was delayed and many of the items we asked for were not available. We ordered chicken malai tikka,it turned out to be dry and the chicken was stretchy. The main course was very average in taste. Drinks were fine."
423,"Great food, paneer tikka was below average"
424,Ganesh was very helpful
425,was served by chandra veer and ganesh and had a great experience
426,full bakvas food too much oil only passe lot rahe ha ye log Road wala Dhaba is best
427,"I went there with my friends for dinner, I liked the ambiance and the food was amazing. I would like to thank Ganesh who served our table , he was really sweet and provided quick service 🙂 The staff was welcoming."
428,Ganesh served us well
429,Hospitality is good food and quality is up to the mark
430,Rajpal was best server
431,Chicken tastes old
432,"Ganesh is good , Food could be better"
433,taste not up to expectations
434,Food was good but they charged VAT on the Total Cost of the drinks inclusive of Service Tax instead of just the cost of drinks.
435,amazing food and service as always.we had really melty galouti kabab and rich butter chicken. ganesh was an incredible host.
436,Great service by Ganesh
437,Ganesh provided excellent service
438,Although food was good but there was no chutney or onions. Even small roadside dhaba provide such things with any order.
439,Awesome service by Ganesh
440,good service by Hansraj and excellent food
441,Hotel staff Dinesh delivered a very good service.
442,The service was not good. Mismanaged!
443,"Ganesh served us really well, and the food too was great."
444,Good taste
445,4 missed items in an order of 6 items.what to say about the quality of the restaurant!!
446,"good food, very nice service by Ganesh"
447,Great place
448,Food was awesome and service by Ganesh was very polite.
449,Ganesh's service was great and the food was delicious
450,"Ganesh was very kind. Really helpful, liked the service"
451,Amazing service. Ganesh was very sweet and catered to us perfectly :)
452,Sushma has provided really nice service and the food is nice too.
453,Great service by Sushma!!
454,Ganesh served us well. Food was great. Service can be improved.
455,Rajpal and Ganesh did serve well
456,"Food was great, and service was great by Rajpal"
457,Nice service especially by Rajpal Singh
458,"Rajpal served very well, non veg was good, veg can be better."
459,"Food was good. But they wont bother to ask you before levying 10% service charge, which apparently is discretionary"
460,Pathetic food
461,"great ambiance, staff behaviour was very cooperative. thanks Ganesh and team for making the day special"
462,Ganesh was very nice to us. Food was okay and mainly the service was very good.
463,Food was excellent and Ganesh gave brilliant service.
464,Ganesh was great server
465,Food prep is too slow.
466,Ganesh has been a great help and his service has been top notch! A very humble and a sweet guy.
467,Ganesh was courteous in dealing our table. Good service
468,Mr ganesh was very helpful.
469,"Food taste - 3.5/5Ambience - 4/5Service - 2/5 (super slow)Value for Money - 2.5/5 (more price, less portion, wait is more)"
470,Ganesh's service was first class!!he served us equally well on 19 December 2023 when we came here last!!Kudos to Ganesh!! :)
471,food was good
472,"Terrible service. Food is mediocre. we had a simple order with chole, naan and a tandoori non veg dish. my partner ate it without naan and as a vegetarian i kept waiting for my food to arrive. We kept reminding them and still nothing. Then we saw manager and a waiter drinking and smoking outside during service hours. Really disappointing."
473,Ganesh is a really very good person. Loved his service and polite behaviour
474,Service was really great. Ganesh ji were extremely hospitable.
475,"Loved the food,especially dal makhani. Our server Ganesh was very kind & helpful"
476,Dinesh service was too good. Great food
477,found hair inside the greavy 😖
478,"We went this venue around 11 pm, there was waiting for around 20 mins.After we got seat, Service was too bad, they don’t even bothered to take a look at our table, at last one guy from the staff named Dinesh came and did good service at the end.I would like to tell this restaurant no matter how good and tasty food you are serving, if you are not good at your service, you will fail."
479,Brilliant service by Ganesh! :)
480,Ganesh’s service was very good
481,Amazing service. Thanks to Ganesh
482,Ganesh was very good and provided good service
